City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cidreira,BR,-30.1811,-50.2056,71.64,91,20,16.37,few clouds
80,Yuzhnouralsk,RU,54.4418,61.2536,2.88,81,84,4.76,broken clouds
81,Palmeiras De Goias,BR,-16.805,-49.9258,72.86,86,98,3.76,overcast clouds
82,Souillac,MU,-20.5167,57.5167,77.38,83,40,8.05,scattered clouds
83,Mafinga,TZ,-7.25,35.0667,68.95,66,100,2.33,overcast clouds
84,Dingle,PH,10.9995,122.6711,78.62,86,99,0.83,overcast clouds
85,Torbay,CA,47.6666,-52.7314,39.58,97,100,13.8,mist
86,Kruisfontein,ZA,-34.0033,24.7314,63.88,61,57,9.84,broken clouds
87,Cayenne,GF,4.9333,-52.3333,77.04,94,75,0.0,broken clouds
88,Senanga,ZM,-16.1167,23.2667,66.18,88,86,2.13,light rain
89,Baryatino,RU,54.3121,34.521,23.31,99,100,3.06,overcast clouds
90,Boende,CD,-0.2167,20.8667,70.05,89,100,2.37,overcast clouds
91,Nuuk,GL,64.1835,-51.7216,33.76,71,100,15.57,overcast clouds
92,Iqaluit,CA,63.7506,-68.5145,-4.27,77,100,16.11,light snow
93,Snasa,NO,64.2457,12.3778,8.01,93,94,5.17,overcast clouds
94,Kariba,ZW,-16.5167,28.8,71.06,85,100,3.36,light rain
95,Bueu,ES,42.3246,-8.785,51.21,71,0,9.22,clear sky
96,Walvis Bay,NA,-22.9575,14.5053,60.1,88,0,4.61,clear sky
97,Hornepayne,CA,49.2138,-84.7705,9.36,95,38,6.67,scattered clouds
98,Nashville,US,36.1659,-86.7844,56.53,84,40,3.44,scattered clouds
99,Alingsas,SE,57.9303,12.5335,24.51,95,84,3.8,broken clouds
100,Dhidhdhoo,MV,6.8833,73.1,81.88,67,99,15.64,overcast clouds
101,Corozal,CO,9.3151,-75.2928,72.12,90,32,6.64,scattered clouds
102,Tahta,EG,26.7693,31.5021,62.1,32,0,6.67,clear sky
103,Camocim,BR,-2.9022,-40.8411,78.82,82,16,11.61,few clouds
104,Hermanus,ZA,-34.4187,19.2345,67.8,83,2,2.82,clear sky
105,Diamantino,BR,-14.4086,-56.4461,77.16,79,99,4.88,overcast clouds
106,Necochea,AR,-38.5473,-58.7368,59.22,75,0,5.01,clear sky
107,Puerto El Triunfo,SV,13.2833,-88.55,75.97,73,10,4.21,clear sky
108,Pangnirtung,CA,66.1451,-65.7125,8.02,98,100,3.85,light snow
109,Tarata,BO,-17.6167,-66.0167,65.62,60,27,5.06,scattered clouds
110,Atar,MR,20.5169,-13.0499,77.95,26,7,5.66,clear sky
111,Mandiana,GN,10.6333,-8.6833,72.64,31,1,3.89,clear sky
112,Antalaha,MG,-14.9003,50.2788,72.45,89,12,6.11,few clouds
113,Bay Roberts,CA,47.5999,-53.2648,40.33,92,100,10.0,overcast clouds
114,Diego De Almagro,CL,-26.3667,-70.05,66.51,51,30,3.98,scattered clouds
115,Krasnoselkup,RU,65.7,82.4667,-6.65,97,99,10.11,overcast clouds
116,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,54,40,10.36,scattered clouds
117,Voineasa,RO,44.2833,24.1333,43.38,100,100,2.3,fog
118,Colares,PT,38.7992,-9.4469,58.75,88,99,8.99,overcast clouds
119,Arlit,NE,18.7369,7.3853,65.53,18,0,2.66,clear sky
120,Asfi,MA,32.2994,-9.2372,63.93,86,98,14.74,light rain
121,Namibe,AO,-15.1961,12.1522,67.15,77,2,5.46,clear sky
